,Dates,Ratings,Titles,Bodys
10,2021-05-29,3,Not Quite As Good As I Hoped,"I love Bosch kitchen products. Our last Washing Machine lasted over 13 years, was used virtually every day and never required an engineer visit or a replacement part.This latest machine is good but it does not excel. It washes well, is incredibly quiet, appears to be well built and still inspires confidence.However:1. The quick wash 15/30 min has a very short max spin speed of 1200 rpm and it's pretty useless.  The washing is not as dry as I would like. Certainly nowhere near as dry as the older Bosch I had. So I either have to spin again at 1400 rpm or select to have the wash only with the 'no drain & spin' option and then when that cycle ends, select the drain and spin option separately at 1400. This increases a 15 minute quick wash time to around 30 mins at least. This is a huge disappointment as the one main benefit of having Bosch over others is their famous 'quick wash' option, which is no longer suitable and certainly a 'downgrade' in performance from previous models. I'm not sure it's the spin speed at fault or rather the length it spins for, which is incredibly short.2. The wash time is ridiculously long. You can shorten most times with 'speed perfect' for smaller loads but for a full load of cotton bedding 3 hours is ludicrous. If like me you prefer to line dry, half the day is gone before you can even put the washing out.3. Bosch has reduced the packaging that the machine is delivered in. A good thing?! well yes and no. I like the fact that it doesn't come in a massive box, it's delivered wrapped in polythene with polystyrene on all 4 corners but there is no protection at all around the door, which protrudes quite a way. So this makes damage to this part especially, highly likely. So even though it's shrouded in polythene, mine arrived with slight damage to the door. I received discount to keep it but even so it's another disappointment because I am forever looking at the very visible front scratches. Personally I would rather have a cardboard box that can be easily recycled than copious amounts of polythene that offer no real protections at all.I expect all the above, spin speed, wash time and packaging are due to the endlessly changing EU regulations on being overly ECO. I just can't see how increasing wash times which in turn increases energy consumption, reducing drying performance which again means extra energy is needed and reduced packaging which will lead to more returns due to damage, increasing C02 pollution in the transport process, are of much benefit to the overall cause.It would be great if the computerised section of these machines could have a firmware update to correct the flaws, which are all down to program software. As it is, this isn’t possible, so I’m left feeling slightly disappointed, which for me is a new experience with regard a Bosch product. I do feel that perhaps I should’ve spent more time researching other brands, as maybe this time I was duped by my brand loyalty."
11,2022-12-03,4,Does what it should and it does it quietly.,It's a few months now since I bought this washer. It uses far less water than my previous washer but does the job perfectly well. Runs very quietly. I'm very happy with the results.
12,2022-04-11,4,"Quiet, efficient but slower","My 13 year old Bosch washing machine finally died.It had been perfectly reliable up to that point so I stuck with Bosch for its replacement.On arrival it was noticable how much lighter it was compared to the old one.Plumbing it in was simple as it had the same connections.After half a dozen or so loads I can say that it's much quieter than my old machine.The programmes take much longer like for like though.  I presume it's for eco reasons but its the reason I've taken a star off.I often have to shut the door a couple of times and press it in further until it will lock.Clothes have been coming out nicely cleaned but no drier than with my old machine even though the spin speed is now faster.Judging by my smart meter, energy consumption has dropped by quite a bit. Very handy in current times with such high energy bills.It sounds like I'm not too happy with this but its just that my old machine was so good, hence I stuck with Bosch.Hopefully it last as long!I hope you find my review helpful."
13,2023-02-19,5,Quiet and get the job done well,The series 4 was valuable for small budget. Overall performance was excellent and quiet. It has multiple washing features for different clothes or materials. I highly recommend it for 2 or 3 people family.
14,2022-12-09,4,Needs to be more economic to run.,Used for small and medium sized loads - cleans clothes very well
15,2022-06-23,4,A couple of annoying things…,"Two issues with this.1. You cannot preset a spin/rinse once the wash is finished. Once it has run the wash cycle you have to manually switch it to the spin/rinse mode and set it off again.2. The beeping. Once it’s finished a cycle it seems to beep on for ages, not two-three times but six-eight. Ok we get it. And no way to modify this other than switching it off.It’s a washing machine and it works and it does what it is supposed to do, but there is a lot of competition. I had a Samsung for 10 years prior and these small things are just annoying enough to make me regret changing brands."
16,2022-07-15,4,Good machine. Lacks mid length wash cycles,"I struggle to select a programme suitable for some of my needs with this machine. It's great for long, economical cycles, great for very short wash cycles, great for specific cycles like wool or lingerie, but when you've got a mixed load of synthetics, eg school clothes, the available mixed programme is only 59 mins long and not long enough to get a large load clean.It's a very quiet machine however.3 of the cycles: cottons, colours and eco are exceptionally long, well over 3 hours, eg the colours cycle is 4:24, eco is 3:35 & cottons is 3:28 - which is far too long. I find the long cycles really wear out all but the toughest clothes."
17,2022-09-18,4,Still very happy after 6 months,Works great and has everything you need in an 8kg washer. Very happy customer and the Amazon delivery team fitted it for us and took off one away. Recommended.
18,2022-12-09,3,Leak under sink via new washing machine,The machine is greatHowever Amazon sent a chap round to install the machine which i paid extra for the man didn't do a good job as he left me with a leak under my sink i had to get a plumber
19,2021-06-14,4,Quiet & effective but some lengthy cycles,"This is a very quiet machine in operation.  It has quite a wide range of cycles but it is advisable to study the program parameters if you like to adjust things for yourself, because options are not as wide as you might think from the advertisements.  This model has the higher spin speed of 1400 rpm BUT this is only available in certain programs, as are the temperature variations & the maximum loads.  Yes, this can prevent unintended results but it obviates personal needs & preferences.  Some cycles seem ridiculously long for their purpose:  the standard cottons program taking 3 hours.  The manual does NOT give program times or even ranges, which is a rather a sly move on the part of Bosch. One rather irritating, if minor,  point is the inability of the window seal to drain completely, leaving about a tablespoon of water sitting in the bottom.  Bosch warn users to dry this &, for long life of the seal, that will be essential."
20,2022-11-13,5,Another Quality product from Bosch,"SO pleased with this machine, good capacity, not the cheapest, but quality costs.The machine is so quiet in operation I have found myself having to check that it has started.  v. quiet during the cycle and during the spin."
21,2021-08-06,4,Happy so far,"I'm quite happy with this washing machine.At first I panicked with how technical it is but it's quite easy to figure out.Good bits:Looks nice and very quiet spin.Clothes smell cleaner than with my old beko.Not so good bits:The spin cycle, even on the highest spin, I'm finding I'm having to do an extra spin as the clothes are still quite wet.The washer beeps quite loudly once it's finished a cycle 3 loud beeps, then another 3 loud beeps, then another 3 loud beeps. I thought this would annoy me too much but I'm used to it now so it's fine.If you stand too close to the electric panel, it pauses the cycle but again that's more annoying than bad.I haven't tried all the different cycles yet as most of them are quite long but overall I'm happy with it so far."
22,2022-11-17,5,Great machine very good service and installation,"The machine is easy to use, has very good cycle options and is quiet.  It is efficient and worth every penny!  Highly recommend this product ."
23,2022-12-01,5,"IT'S A BOSCH, says it all","used it a lot in the last 3 weeks,  everything comes out clean & bright"
24,2022-12-20,5,Great machine,Great machine
25,2022-11-24,5,Very quiet running.,"Need to read the instruction manual fully, it then became more easy to organise the wash programme."
26,2022-09-07,5,This was the week...,"... when my faithful old Bosch gave up the ghost - just after I'd bought a new fridge freezer (also Bosch). Not the Bosch's fault, a supposed engineer replaced the door seal which resulted in a flooded kitchen.So we decided to replace rather than repair - it runs quietly and economically, very pleased."
27,2022-11-22,5,looks good,"replaced an older model, this has bigger load and more efficient on power."
28,2022-11-16,5,"Bosch, German quality.","Bosch, great machines. Large capacity and does the job well"
29,2022-10-28,5,Quiet and good quality,Machine seems solidly built and is much quieter than our previous BoschCan’t review wash performance as only just started using it
30,2021-10-22,5,Beware of the installation,"I like this machine. It's really quite, easy to use, but obviously it is really, really hard to install. I paid £40 for the installation and in six months my wonderful new machine quit working.I cleaned the filter. I cleaned it again. And again. Because my machine said it's E-36.Today I had unplugged the drainage pipe construction, and here is what it looks like (see the pictures)Obviously, I got to learn the science of properly installing these machines by myself. I am a good school and college teacher, I enjoy gardening, I can do so many things with my hands. I really expected those Bosch guys being able to do their job so, that I shouldn't be needed to do it all over again after them.All and all I do recommend the machine itself, but don't trust the installation."
31,2022-05-19,4,A lot of long washes.,This only has one short wash a mixed wash and the start touch pad some times doesn’t work just beeps and beeps. A lot to get use to but it looks nice and stylish.
32,2022-10-28,5,good looking machine,cant say to much just had it installed from my last washing machine hostpoint aquarius aaa
33,2022-03-14,5,Which program?,"Relatively easy to use but we have to keep checking the manual and search through the programs for the best Cycle, you have to press the temperature and spin buttons to check that it is correct for the clothes in the drum, we wish that these indications were automatically displayed when the program is selected without having to check them individually. Some programs only spin up to 800 and heat up to 30*. we tend to use the 1400 @ 40* most of the time due to workwear. We'll get used to it eventually."
34,2022-06-24,5,Few features but outstanding results,"If your first priority is outstanding cleaning results and you don’t need a machine which has dozens of pointless programs, or the ability to be able to add an odd sock during a wash cycle rather than simply waiting for the next wash, or to be able to communicate with it remotely using the internet, then you’ll be really happy with this machine. The cleaning results are truly amazing!"
35,2022-10-18,5,Excellent value for the money,Great washing machine that does the job quietly and effectively. So easy to use would recommend to anyone.
36,2022-11-13,5,Excellent purchase,Excellent
37,2022-05-18,5,Brilliant!,"I’ve only just received this product and used it a few times but even on the quick wash the stains are removed, the clothes smell fresh and clean and it’s very easy to use. And it is sooooo quiet!! I had a Hotpoint previously which was very noisy in comparison.Also the duo who delivered and installed it were fabulous! They went above and beyond and were very kind and helpful!"
38,2021-11-24,5,Might go for a bigger drum,We had a 8kg drum similar Bosch machine which packed up after about 10 years use which for a large household and daily use was quiet good. So went for Bosch again to a slightly bigger drum. In retrospect might have gone for a even bigger drum but I think this it is a hard one to decide and perfectly happy witht he 9kg size. It has delivered to my expectation as most Bosch products do. It is a bit more quieter. I have made sure it is levelled correctly  which I am sure help the component last longer. Have also have a sound absorbing matt underneath. Great product at a competitive price point
39,2022-10-26,5,Brilliant washing machine loads of programmes,How silent it was worth paying that extra few pounds
40,2021-01-21,5,Great Machine,"Was a bit put off by reviews saying it had long complicated cycles, but have found it very straight forward to use and it washes very nicely. You can shorten most cycles using 'speed perfect'- and in the quick wash this reduces it from 30 to 15 mins (but this does then require a spin which adds another 13 mins) and this  reduces the size of the load to 2kgs- but perfect for a quick turn around for a few items. A mixed load cycle completed in 59mins, compared to the 3+hours for some other cycles. The only issue I have had so far is when putting a Childs coat in a quick wash followed by a spin- it couldn't balance the weight so didn't spin properly- but I threw in a few clean towels to balance it and it worked fine! A great machine, and happy customer."
41,2022-03-10,4,Very quiet in operation,"Quiet when in operation.Wash quality no better or worse than previous machine, regardless of literature on the subject.Easy to use and program.Articles not as dry as hoped after spin program."
42,2022-02-18,5,One of the best Washing machines seen so far,"Absolutely love this beauty. Perhaps this is because our old machine had started making loud noises and appeared to fall below our expectations. With this beauty, I feel tempted to use it again and again. It is unbelievable to see that a washing machine be that ""quiet"" and still performs exceptionally well. Needless to say that I am super impressed with Amazon when they delivered the new, installed it, and also recycled the old one at the lowest possible cost. Thank you so much, guys."
43,2022-07-03,5,Value for money very reliable and easy to use,It was so easy to install I’m in my seventy’s and female after watching a  u tube video I managed to install it myself with a little help from my son-in-lawI really recommend Bosch they are value for money well made and very reliable I had my last Bosch washer 14yrs
44,2022-03-25,5,A quiet and efficient washing machine,"We are vey pleased with this machine that works notedly more quietly and runs more energy efficiently than the machine on which we until very recently relied.  Significantly  the machine enables us, through a nuanced means of programming, to take a fuller view of the environmental issues than before. It makes laundry more convenient, less costly and more environmentally friendly. It represent a desirable combination of technological advance and environmental consideration."
45,2021-10-01,4,Efficient and oh so quiet!,"The programmes are a puzzle as you can't seem to change the temperature or duration. One for example says 40 to 60 degrees so which is it? We tend to use 1 hour at 40 a lot, changes to 46 mins when you press ""speed perfect"" if it's not full. Washing comes out clean, almost dry. Best feature is the quiet motor, you can hardly hear it working!"
46,2022-10-18,1,It wouldn't even switch on.,"Once I'd connected everything up and tried to switch it on, nothing other than a brief flashing display happened.  Fortunately, Amazon were quick to refund and remove it.This machine appears to have a big display with touch sensitive buttons.  No proper on/off switch.I think the computer system is at fault.  I'm a big fan of Bosch power tools, but I think they've put a rubbish chip in this machine.Of note for future purchasers of washing machines...1 - Ensure you personally drain the old washing machine if you want Amazon to remove the old one.  Just pressing the ""drain"" setting on the machine will not fully drain it - remove the water filter and drain it yourself.  The deliverymen refused to take away the old machine because there was still water in it.2 - Ensure the delivery guys actually install it if you've paid for them to do that.  I forgot to insist they did it, then unpacked and installed it myself.  Then I found out it was faulty.  This all took some time, and then more time before it was picked up by Amazon.  And removing the tubing from the waste pipe of my home took more time."
47,2022-05-25,5,Brilliant,It's a great machine. Very quiet and douse what it says on the tin. Our last machine was also a Bosch and lasted 19 years. To be fair the old machine was still going but the noise it was making indicated its demise was imminent.  Only had it a few weeks but very pleased with it.
48,2022-01-29,4,Good value washing machine,"This Bosch is the third one we've had, whilst the programmes are all very good, the robustness of the build is not as good as the older model we'd had for quite a number of years."
49,2022-05-14,5,Quiet,I ordered this machine as a replacement for an older Bosch which was beyond repair.The controls are clear and easy to use. There is an option to add an extra rinse into the sequence which saves adding it later. Some programmes can have the temperature changed. The machine is quiet during wash and spin .
50,2022-03-15,4,Good product,"Good product, very quiet,the washing cycles are too long.The clothes need to be re-spun after the washing cycle has finished."
51,2022-02-27,5,Washes well and very quiet,I don’t really know how easy it was to install as I paid for installation by the delivery crew. There’s a hell of a lot of washing programs and parameters but I tend to just use the cotton one and switch between 40 degree or 60 degree washes. The wash is very good. The machine is very quiet in operation - both wash and spin cycles. There is virtually no vibration.
52,2021-06-03,5,Just Great,Forced to buy a new one after a power cut blew ours up!I am a bloke but have taken over the domestic chores.I can’t believe I am reviewing a washing machine but it is bloody excellent!I would sound like a TV ad if I could explain why but it really is just very good.The controls are clear and after 10minutes of reading the instructions I was able to master them and take control of my washing. I use a lot less washing liquid and the results are better than my previous 3 yr old Bosch.EDIT 1 YEAR LATER:Still a fantastic machine but please read the load weight maximums for each setting.Occasional poor wash caused by overloading the machine for a particular setting.Most embarrassed to have this pointed out by my “told you so” wife!
53,2022-03-31,4,Good,It washes clothes which I what I wanted.
54,2022-10-10,5,Best Washer I have ever had in my 80years,Nothing to not like.
55,2022-01-22,5,The Delivery team were amazing! I can’t thank them enough.,"The team rang just before they arrived nice and early so I haven’t had to wait all day, they were very friendly and polite and nothing was too much trouble …our washing machine fitting is not the easiest. However they got on with it with no issues and checked everything was working before they left.  A dream.Thank you so much and such an easy process."
56,2021-01-26,5,Excellent machine that is good value,"We purchased this Bosch washing machine for my daughter and her new house and we are very happy with it.  We have always liked Bosch equipment as it is reasonably priced but the equipment is always very reliable in our experience.It's reasonably quite, washes and spins clothes well and looks as good as any other 'white washing machine'.The option to be able to pause the wash to put any missed items in is very good.The normal cycles can be pretty long (2.5 - 3hours!) but there is a 'Quick' option which can reduce this dramatically (40-45 minutes for some programmes) - although it supposedly uses more energy (not sure how a 45minute program uses more than a 3hour...).Well recommended."
57,2021-03-09,4,Poor Installation Service,"Great washing machine however the installation costing £40 was extremely poor. The feet weren't adjusted leaving the machine wobbling about. Then heard loud banging noises during the first run. Pulled the machine out and found the travel bolt plastic sleeves had been left in, these were banging against the drum internally causing the noise. Hopefully no long lasting damage to the machine! My partner warned me about buying this on Amazon as she was concerned the installation wouldn't be done properly and she was right."
58,2020-12-16,5,"Machine great, but delivered with a damaged top","Wonderfully quiet machine which delivers a superb wash. Things are coming out cleaner than ever. Only downside is that the cycles are very long - the eco cycle is over 3 hours!Not an easy item to return due to bulk and weight but very disappointed that the top was dented and scratched to the extent that the metal was exposed. Hope it doesn't rust as a result. The top had been covered in cardboard but something very heavy and sharp must have been dropped on it. Not discovered until the delivery men had left and we removed the carboard packaging on the top of the machine. Suggest polystyrene (eco variety) instead of cardboard for future reference. Considering the long wait for its delivery, the damage is very disappointing"
59,2021-11-25,5,Great washing machine,The most impressive part of this is that you can cut down the wash time by half with the Speed Perfect button and that it's very serious when it comes to spinning. The clothes come out really quite dry before you hang them to dry.. so that's a good start to completing the task! I kind of wish I'd bought the 8kg but the 7kg should be enough to cope with just the two of us.
60,2022-06-09,5,Great machine,"Love machine.I wash nearly everything on 45min wash. Some wash cycles go on forever!Warning - if you decide to purchase the Bosch extended warranty, you Only have 30days from purchase to do this!"
61,2021-02-18,5,5 star,"Works well, the most silent machine I have ever used. Not all the program cleans well, but I have found the most suitable for me. Only problem was with it, at the time of purchase, the site didn't let me choose the installation option, as when I clicked on it, the page didn't let me go further, didn't matter what date I choosed. Actually this site problem saved me 40 £, as my friend came and installed it for free, hence I didn't take out any star. I recommend the product and the seller, and there was no problem with the delivery, which we have a lot in this area."
62,2022-07-02,5,Being able set finish time is a great feature,"Very quiet operation and like ability to change temperature settings in individual programmes. Hope it lasts as long as the last Bosch machine, 16 years plus."
63,2022-09-06,5,Best Purchase,Good value for money
64,2021-07-03,5,Super quiet,"Love this! Did some research into quiet appliances. This IS! I can hardly hear it at times. When spinning, it’s quieter than my dishwasher. The control panel is a bit too touch sensitive if you lean on it, or brush past it with clothes that make contact, but other than that I’m impressed. At first glance, when selecting some wash programs they appear excessively long, but if you select Speed Perfect function, then most of them halve in time. The 30 C quick wash is quick at 30 minutes and covers most day to day washing."
65,2021-08-19,5,All round good washing machine,"pleased from the start. love that you can stop it and open to add a forgotten item. the tub is larger than our older model, making it easier for bedding. a good range of dial options for different clothes, as well as the option to change the temperature setting. I do feel the economy is not always practical as it suspends the washing; alright if not in a hurry. as it stands, i am happy with the item, even though it does not have half load."
66,2022-04-29,5,Bosch Quality,Very good machine and a quality build.Quiet in operation  even on max spin speed.Amazon offered the chance best price and good installation team.I would use Amazon again for future white goods.
67,2021-10-07,4,Very quiet.,This machine delivered as advertised.The machine was was very easy to installThis machine has a very quiet spin cycle and loads of different wash cycle.
68,2021-08-24,5,Good Value Washing Machine,"Great machine - fairly quiet compared to our last machine.Easy to understand programmes - I personally only use one or two so this machine fits the bill. Has a useful 15 or 30 minute quick wash and you can adjust things like spin speed, temperature etc. For each programme.All in all, I am pleased with my purchase up to now and if it lasts as long as my previous machine (11 years) I shall be very happy."
69,2021-02-10,4,Good,So far really pleased with machine. It’s lovely and quiet when in use which was really important living in a flat with an open kitchen.Works as you would expect. The only minor thing I would change if I could was to make the door a bit bigger as it’s quite small in comparison to my last machine. But only a very minor issue......
70,2022-02-12,5,Great machine,Works brilliantly but front panel display looks like something from the 90s.  Having said that loads of white goods manufacturers put screens on their appliances that are laughable in their resolution.  Surely it wouldn’t cost much to make it look like a early iPhone
71,2022-03-31,3,Spin Cycle,"Does the washing. Plenty of different washes, but the spin cycle..... the machine nearly takes off. It bangs against the sides and moves out across the floor."
72,2022-05-18,5,good product,The product is very good but the courier is no experience to install the machine even I have paid the installation fee :(
73,2021-06-17,5,This machine washes very well whites are noticeably white! (Shame on my old machine),I have had this machine for one month now and at first I was quite dismayed at the length of some of the programmes-  so I have tried them all and have found that the ( much) shorter programmes work just as well as The (very) long ones so I am content and now have my favourites!I am astounded at how quiet the machine is and delighted with how well it actually washes all my whites are now white.
74,2022-06-18,5,Great washer,Plenty of programs including a 15 or 30 minute wash. Quiet working. Great results.
75,2021-12-05,5,Learn your programs,"When we first got the machine, my wife was quite disappointed because all the programs she looked at were quite long ones, but after a bit of fiddling and practice she now has found quick wash program for about a hour, she is now very happy and the machine is performing very well to expectations."
76,2022-04-14,3,How it works,"Small scratch on right hand side 70mm long, no manual with it , old people like one ."
77,2021-07-05,5,what a great washing machine,never had a bosch washer before but read lots of reviews from different websites. have to admit im loving it. its so quiet and does a real good job with my clothes its pleasure to do the washing nowthe delivery men were so polite and unwrapped for me and took all the rubbish away asked if i was ok getting it fixed in place. they were a credit to amazon
78,2022-06-18,5,Dishwashing machine is very good and very easy to use,I don’t dislike anything for this machine it’s just a job
79,2022-04-24,5,It's a Bosch this is my 3rd bosch washing machine in 21 years its the Rolls Royce,Plumb it in read instructions after a week throw the instructions away no need to look at them ever again. Enough said
80,2022-07-11,5,Just works,Washing
81,2021-09-03,5,Washing machine,Great machine. Not that easy to install. Came with an extremely short hose. My plumber had 2 attempts at popping out to get an outlet pipe long enough to reach the drainage outlet pipe. Had I paid for installation with amazon they would not have been able to install it and it would have been money wasted. Can't fault the machine itself though.
82,2022-05-02,5,Easy to use,"Delivery was fast and very helpful , went above and beyond . Excellent value for money  ."
83,2021-04-09,3,Touch screen and spinner let this great washer down,Great washer. Not that quiet. After 3 months  touchscreen already playing up and spin is so sensitive that it regularly fails to spin. Annoying as previous 19 y/o Bosch span the same items without any issues at all. Will call the engineer as soon as faults are constant. Till then it will just drive me mad.....if I call them out now ... I know from the unclucky law of experience... that it will behave and walk away..... saying it’s fine and I’ll have wasted a day waiting for them to show up.
84,2021-07-22,4,Machine Good instructions to complicated,The thing that lets the machine down is that the instruction book is far to complicated to follow needs simplifying for ease of use.
85,2022-05-28,5,Good machine,Brilliant machine washes well and very quite even during spinning cycles.
86,2021-06-01,5,very quiet operation.,"remember when washings used to shake and rattle and start walking across the room during the pin cycle?This Bosch washing is so quite I need to check its still working during the wash, Its a solidly built unit that does not go walking.This is the best washing machine I have had so far and the 9kg drum means I can even wash my large duvets.Great machine."
87,2021-11-27,5,So quiet,"Best washing machine I’ve had in years, I love that it indicates the wash weight. Great anti bacterial wash, bedding and towels.Great value for moneyOld machine taken awayNo hassleIf I have to buy again will still buy this one"
88,2022-02-04,5,It's of high quality,This is the second Bosch washing machine we've had and it comes fully up to our expectations with the added bonus that it's easy to program.
89,2021-05-20,4,Good product and service,Very happy with my new machine and especially with the delivery installation and removal of the old machine all for an extra £40 . Well worth it .
90,2021-09-02,4,Fine,"Value for money, very important in this day & age."
91,2021-03-21,4,Great Washing machine,Great washing machine  easy to use. Jus be careful leaning against it when reaching into your wall units as the touch control can resest to wash.
92,2022-03-22,5,Eco friendly and economical.,I had my last bosch 17 years and wouldn't have anything else.
93,2020-09-03,4,Terribe service from Amazon,"Product was fine, communication from Amazon was dismal, delivery took nearly three weeks and only then once I made a tremendous fuss, appalling service from Amazon. I am disappointed by the lack of customer care and information, very poor."
94,2021-05-18,4,Very quick to wash and gets it clean!,A VERY sensitive control panel - if you lean on it/knock it/ child touches it then the cleaning starts all over again!
95,2021-08-05,4,"washing times were shorter than I expected, but the machine is very effective",MY WASHING CAME OUT AS CLEAN AS EXPECTED
96,2022-12-06,1,"No worth of the money, this washing machine has health and safety issues","The media could not be loaded.
                



 No worth of the money, no safe to use, during the spin cicle this machine start to shake and jumping as a normal washing machine should do.  i request a full refund plus compensation for the damages caused"
97,2022-01-20,5,Handsome,"We referred to the youtube installation clip and installed it ourselves, very easy.It works very well and very quiet when spinning."
98,2020-12-17,5,"Don't expect recycling, installing and testing even if boxes are ticked.",The product is as expected as it was to replace an old bosch washing machine. It was the sales pitch that was poor. Promised to remove old machine and install and test new machine (£40 extra to be charged after providing service) not a problem. However delivery guys don't install or remove old machines apparently. So I think it was a sneaky way of selling their product.
99,2021-03-20,5,Sooo quiet!,"The first time we used this we thought it was faulty. It is so quiet that the water intake is louder than the machine itsself! The only time you can hear it is when it starts to spin, and even at full belt, it is nothing to worry about. Superb washing and great value for money."
100,2022-02-03,5,Excellent washing results on all settings!,"Easy to use, extremely quiet during cycle, good looking , the best washing machine I ever had!"
101,2021-08-30,4,Recommended model,It was recommended
102,2021-07-09,5,Great Washing Machine,"This is an excellent machine. my wife says.  ""Best washing machine I have every had"".. Very versatile, adjustable spin in any programme, 4 Kg. mixed 59 min wash exellent, very quiet, able to stop and add items after starting the wash. Cannot praise it enough."
103,2021-08-23,4,Good quality,Good quality
104,2021-08-20,5,Bisch Basch Bosch,Have been using this for over a month now and it is an excellent washing machine with lots of useful features. Very quiet when washing or on spin cycle. Built to usual Bosch standards and washing results are brilliant. Would thoroughly recommend.
105,2021-01-02,5,Works perfectly,The W/M was delivered wihtin 4 days of placing the order and given a time slot of delivery on the day. Dlivery personel unpacked the  item and made sure was in good visable condition. They took away all the packaging  The W/M works as expected and plumbing in to an existing system was very easy
106,2021-04-21,4,Doesn’t use enough water,Quiet machine. Doesn’t use enough water for large loads  . But will spin without moving and quietly.
107,2021-12-29,2,Had a faulty one,"Firstly a positive, did a good job on washing clothes. However this unit vibrated terribly and made a horrible clanging sound on spin. Was bought as ""acceptable"" from amazon warehouse so expected the cosmetic damage but quite easy to see how it was caused when machine shaking violently. Return and refund processed really smoothly, just glad I kept the packaging. I am sure most are fine but sometimes there is a reason why it was a customer return in the first place."
108,2021-02-28,5,BEST Washer Ever!!,The BEST Washer i have ever owned runs a treat so easy to use and quiet sometimes have to check its still washing! A great all rounder digital controls and nice flush door so keeps nice and clean the best from BOSCH delighted hope to get many years from this great Washer!
109,2022-03-01,5,Quiet machine,Delivery by Arrow was poor but washer is great
110,2021-05-01,5,Fast reliable service- very quiet machine,Wouldn’t normally think of Amazon for a washing machine but quickly delivered and fitted and old one taken away for recycling. Competitive prices and reliable professional service. The Bosh machine is effective and yes is very quiet compared to other washing machines. 5 stars fully recommend
111,2022-01-17,5,A great brand,I’m be always trusted Bosch products and I am so happy with my washing machine.
112,2021-07-18,3,Rubbish feet,One of the feet broke off when sliding it back into position. Cheap nasty plastic feet. Why not a quality metal bolt type foot that won’t break off. The appliance cost enough to warrant a decent set of feet!!
113,2021-01-05,4,Easy to use,"Used for washing clothes, very pleased with the programmes & the timings, adjusted how I use the programmes to suit my laundry."
114,2021-04-03,4,Check it before delivery guys leave,"Arrived and working ok, but when unpacked there was a small dent on the door"
